customerID,Cluster,SegmentName
7590-VHVEG,0,Low Spenders
5575-GNVDE,2,Medium-Low Spenders
3668-QPYBK,0,Low Spenders
7795-CFOCW,2,Medium-Low Spenders
9237-HQITU,3,Medium-High Spenders
9305-CDSKC,3,Medium-High Spenders
1452-KIOVK,3,Medium-High Spenders
6713-OKOMC,0,Low Spenders
7892-POOKP,3,Medium-High Spenders
6388-TABGU,2,Medium-Low Spenders
9763-GRSKD,0,Low Spenders
7469-LKBCI,0,Low Spenders
8091-TTVAX,1,High Spenders
0280-XJGEX,1,High Spenders
5129-JLPIS,3,Medium-High Spenders
3655-SNQYZ,1,High Spenders
8191-XWSZG,2,Medium-Low Spenders
9959-WOFKT,1,High Spenders
4190-MFLUW,0,Low Spenders
4183-MYFRB,3,Medium-High Spenders
8779-QRDMV,0,Low Spenders
1680-VDCWW,0,Low Spenders
1066-JKSGK,0,Low Spenders
3638-WEABW,2,Medium-Low Spenders
6322-HRPFA,2,Medium-Low Spenders
6865-JZNKO,3,Medium-High Spenders
6467-CHFZW,1,High Spenders
8665-UTDHZ,0,Low Spenders
5248-YGIJN,1,High Spenders
8773-HHUOZ,3,Medium-High Spenders
3841-NFECX,1,High Spenders
4929-XIHVW,3,Medium-High Spenders
6827-IEAUQ,3,Medium-High Spenders
7310-EGVHZ,0,Low Spenders
3413-BMNZE,0,Low Spenders
6234-RAAPL,1,High Spenders
6047-YHPVI,3,Medium-High Spenders
6572-ADKRS,1,High Spenders
5380-WJKOV,1,High Spenders
8168-UQWWF,3,Medium-High Spenders
8865-TNMNX,0,Low Spenders
9489-DEDVP,1,High Spenders
9867-JCZSP,0,Low Spenders
4671-VJLCL,1,High Spenders
4080-IIARD,3,Medium-High Spenders
3714-NTNFO,1,High Spenders
5948-UJZLF,0,Low Spenders
7760-OYPDY,3,Medium-High Spenders
7639-LIAYI,1,High Spenders
2954-PIBKO,1,High Spenders
8012-SOUDQ,1,High Spenders
9420-LOJKX,3,Medium-High Spenders
6575-SUVOI,3,Medium-High Spenders
7495-OOKFY,3,Medium-High Spenders
4667-QONEA,1,High Spenders
1658-BYGOY,3,Medium-High Spenders
8769-KKTPH,1,High Spenders
5067-XJQFU,1,High Spenders
3957-SQXML,2,Medium-Low Spenders
5954-BDFSG,1,High Spenders
0434-CSFON,1,High Spenders
1215-FIGMP,1,High Spenders
0526-SXDJP,2,Medium-Low Spenders
0557-ASKVU,0,Low Spenders
5698-BQJOH,3,Medium-High Spenders
5122-CYFXA,3,Medium-High Spenders
8627-ZYGSZ,1,High Spenders
3410-YOQBQ,3,Medium-High Spenders
3170-NMYVV,2,Medium-Low Spenders
7410-OIEDU,3,Medium-High Spenders
2273-QCKXA,0,Low Spenders
0731-EBJQB,2,Medium-Low Spenders
1891-QRQSA,1,High Spenders
8028-PNXHQ,2,Medium-Low Spenders
5630-AHZIL,3,Medium-High Spenders
2673-CXQEU,1,High Spenders
6416-JNVRK,2,Medium-Low Spenders
5590-ZSKRV,0,Low Spenders
0191-ZHSKZ,3,Medium-High Spenders
3887-PBQAO,2,Medium-Low Spenders
5919-TMRGD,3,Medium-High Spenders
8108-UXRQN,0,Low Spenders
9191-MYQKX,3,Medium-High Spenders
9919-YLNNG,1,High Spenders
0318-ZOPWS,2,Medium-Low Spenders
4445-ZJNMU,3,Medium-High Spenders
4808-YNLEU,3,Medium-High Spenders
1862-QRWPE,2,Medium-Low Spenders
2796-NNUFI,2,Medium-Low Spenders
3016-KSVCP,0,Low Spenders
4767-HZZHQ,3,Medium-High Spenders
2424-WVHPL,3,Medium-High Spenders
7233-PAHHL,1,High Spenders
6067-NGCEU,1,High Spenders
9848-JQJTX,1,High Spenders
8637-XJIVR,3,Medium-High Spenders
9803-FTJCG,1,High Spenders
0278-YXOOG,0,Low Spenders
3212-KXOCR,2,Medium-Low Spenders
4598-XLKNJ,3,Medium-High Spenders
6380-ARCEH,0,Low Spenders
3679-XASPY,0,Low Spenders
7123-WQUHX,1,High Spenders
5386-THSLQ,2,Medium-Low Spenders
3192-NQECA,1,High Spenders
6180-YBIQI,0,Low Spenders
6728-DKUCO,1,High Spenders
9750-BOOHV,0,Low Spenders
8597-CWYHH,1,High Spenders
2848-YXSMW,2,Medium-Low Spenders
0486-HECZI,1,High Spenders
4549-ZDQYY,2,Medium-Low Spenders
5712-AHQNN,1,High Spenders
4846-WHAFZ,3,Medium-High Spenders
