customerID,Cluster_Tenure,SegmentName_Tenure
7590-VHVEG,1,Very New
5575-GNVDE,3,New
3668-QPYBK,1,Very New
7795-CFOCW,0,Established
9237-HQITU,1,Very New
9305-CDSKC,1,Very New
1452-KIOVK,3,New
6713-OKOMC,1,Very New
7892-POOKP,3,New
6388-TABGU,2,Long-term
9763-GRSKD,1,Very New
7469-LKBCI,3,New
8091-TTVAX,2,Long-term
0280-XJGEX,0,Established
5129-JLPIS,3,New
3655-SNQYZ,2,Long-term
8191-XWSZG,0,Established
9959-WOFKT,2,Long-term
4190-MFLUW,1,Very New
4183-MYFRB,3,New
8779-QRDMV,1,Very New
1680-VDCWW,1,Very New
1066-JKSGK,1,Very New
3638-WEABW,2,Long-term
6322-HRPFA,0,Established
6865-JZNKO,3,New
6467-CHFZW,0,Established
8665-UTDHZ,1,Very New
5248-YGIJN,2,Long-term
8773-HHUOZ,3,New
3841-NFECX,2,Long-term
4929-XIHVW,1,Very New
6827-IEAUQ,3,New
7310-EGVHZ,1,Very New
3413-BMNZE,1,Very New
6234-RAAPL,2,Long-term
6047-YHPVI,1,Very New
6572-ADKRS,0,Established
5380-WJKOV,3,New
8168-UQWWF,1,Very New
8865-TNMNX,1,Very New
9489-DEDVP,2,Long-term
9867-JCZSP,3,New
4671-VJLCL,2,Long-term
4080-IIARD,1,Very New
3714-NTNFO,0,Established
5948-UJZLF,1,Very New
7760-OYPDY,1,Very New
7639-LIAYI,0,Established
2954-PIBKO,2,Long-term
8012-SOUDQ,0,Established
9420-LOJKX,1,Very New
6575-SUVOI,3,New
7495-OOKFY,1,Very New
4667-QONEA,2,Long-term
1658-BYGOY,3,New
8769-KKTPH,2,Long-term
5067-XJQFU,2,Long-term
3957-SQXML,3,New
5954-BDFSG,2,Long-term
0434-CSFON,0,Established
1215-FIGMP,2,Long-term
0526-SXDJP,2,Long-term
0557-ASKVU,3,New
5698-BQJOH,1,Very New
5122-CYFXA,1,Very New
8627-ZYGSZ,0,Established
3410-YOQBQ,3,New
3170-NMYVV,0,Established
7410-OIEDU,1,Very New
2273-QCKXA,1,Very New
0731-EBJQB,0,Established
1891-QRQSA,2,Long-term
8028-PNXHQ,2,Long-term
5630-AHZIL,1,Very New
2673-CXQEU,0,Established
6416-JNVRK,0,Established
5590-ZSKRV,1,Very New
0191-ZHSKZ,3,New
3887-PBQAO,0,Established
5919-TMRGD,1,Very New
8108-UXRQN,1,Very New
9191-MYQKX,1,Very New
9919-YLNNG,0,Established
0318-ZOPWS,0,Established
4445-ZJNMU,1,Very New
4808-YNLEU,3,New
1862-QRWPE,0,Established
2796-NNUFI,0,Established
3016-KSVCP,3,New
4767-HZZHQ,3,New
2424-WVHPL,1,Very New
7233-PAHHL,2,Long-term
6067-NGCEU,2,Long-term
9848-JQJTX,2,Long-term
8637-XJIVR,1,Very New
9803-FTJCG,2,Long-term
0278-YXOOG,1,Very New
3212-KXOCR,0,Established
4598-XLKNJ,3,New
6380-ARCEH,1,Very New
3679-XASPY,1,Very New
7123-WQUHX,0,Established
5386-THSLQ,2,Long-term
3192-NQECA,2,Long-term
6180-YBIQI,1,Very New
6728-DKUCO,2,Long-term
9750-BOOHV,3,New
8597-CWYHH,0,Established
2848-YXSMW,2,Long-term
0486-HECZI,0,Established
4549-ZDQYY,0,Established
5712-AHQNN,0,Established
4846-WHAFZ,0,Established
5256-SKJGO,2,Long-term
3071-VBYPO,1,Very New
9560-BBZXK,3,New
5299-RULOA,1,Very New
8402-OOOHJ,0,Established
9445-ZUEQE,3,New
1091-SOZGA,0,Established
2928-HLDBA,1,Very New
0404-SWRVG,1,Very New
6497-TILVL,1,Very New
7219-TLZHO,1,Very New
4622-YNKIJ,3,New
4412-YLTKF,3,New
6734-PSBAW,2,Long-term
3930-ZGWVE,1,Very New
2639-UGMAZ,2,Long-term
2876-GZYZC,1,Very New
6207-WIOLX,3,New
8587-XYZSF,2,Long-term
3091-FYHKI,1,Very New
2372-HWUHI,1,Very New
7799-LGRDP,0,Established
7850-VWJUU,3,New
3774-VBNXY,2,Long-term
6217-KDYWC,2,Long-term
0390-DCFDQ,1,Very New
3146-MSEGF,2,Long-term
4080-OGPJL,1,Very New
1095-WGNGG,2,Long-term
2636-SJDOU,2,Long-term
1131-QQZEB,2,Long-term
5716-EZXZN,2,Long-term
6837-BJYDQ,1,Very New
2135-RXIHG,1,Very New
6440-DKQGE,3,New
3466-BYAVD,1,Very New
3780-YVMFA,1,Very New
3874-EQOEP,1,Very New
1679-JRFBR,2,Long-term
9073-ZZIAY,2,Long-term
3077-RSNTJ,1,Very New
6551-GNYDG,1,Very New
9167-APMXZ,3,New
2749-CTKAJ,3,New
6371-NZYEG,3,New
7554-NEWDD,1,Very New
8992-VONJD,1,Very New
0867-MKZVY,3,New
4482-EWFMI,1,Very New
4648-YPBTM,0,Established
2907-ILJBN,1,Very New
6345-FZOQH,2,Long-term
3376-BMGFE,1,Very New
5997-OPVFA,2,Long-term
3445-HXXGF,2,Long-term
1159-WFSGR,3,New
7654-YWJUF,0,Established
1875-QIVME,1,Very New
6727-IOTLZ,1,Very New
0691-JVSYA,0,Established
5918-VUKWP,3,New
1744-JHKYS,3,New
2656-FMOKZ,1,Very New
2070-FNEXE,1,Very New
5947-SGKCL,1,Very New
3712-PKXZA,2,Long-term
6317-YPKDH,1,Very New
6582-OIVSP,1,Very New
9367-WXLCH,1,Very New
5524-KHNJP,3,New
1918-ZBFQJ,1,Very New
1024-GUALD,1,Very New
4827-USJHP,3,New
8167-GJLRN,1,Very New
0956-SYCWG,1,Very New
8017-UVSZU,0,Established
7100-FQPRV,0,Established
2472-OVKUP,1,Very New
2984-RGEYA,2,Long-term
9680-NIAUV,2,Long-term
2146-EGVDT,2,Long-term
2604-IJPDU,3,New
9178-JHUVJ,3,New
6168-YBYNP,2,Long-term
7255-SSFBC,2,Long-term
3645-DEYGF,1,Very New
9323-HGFWY,3,New
8544-GOQSH,1,Very New
3363-DTIVD,2,Long-term
7018-WBJNK,1,Very New
9142-KZXOP,0,Established
7674-YTAFD,3,New
6348-SNFUS,2,Long-term
1285-OKIPP,1,Very New
7825-ECJRF,3,New
1347-KTTTA,2,Long-term
7841-TZDMQ,1,Very New
4195-NZGTA,1,Very New
7157-SMCFK,2,Long-term
4709-LKHYG,3,New
2504-DSHIH,3,New
0699-NDKJM,2,Long-term
9286-BHDQG,2,Long-term
0230-WEQUW,2,Long-term
2040-LDIWQ,2,Long-term
6496-JDSSB,1,Very New
9408-SSNVZ,1,Very New
4443-EMBNA,2,Long-term
6469-MRVET,1,Very New
0742-MOABM,1,Very New
5961-VUSRV,1,Very New
6778-JFCMK,3,New
6341-JVQGF,3,New
2232-DMLXU,1,Very New
4811-JBUVU,3,New
0945-TSONX,0,Established
2651-ZCBXV,0,Established
3316-UWXUY,0,Established
8937-RDTHP,1,Very New
7083-MIOPC,2,Long-term
1984-GPTEH,3,New
1251-KRREG,1,Very New
0621-JFHOL,1,Very New
9903-LYSAB,3,New
0094-OIFMO,1,Very New
9227-UAQFT,3,New
7301-ABVAD,2,Long-term
6614-FHDBO,2,Long-term
7576-ASEJU,0,Established
9058-HRZSV,2,Long-term
4522-AKYLR,1,Very New
0221-WMXNQ,1,Very New
0303-UNCIP,0,Established
9947-OTFQU,1,Very New
0322-YINQP,1,Very New
0959-WHOKV,0,Established
4075-JFPGR,0,Established
4629-NRXKX,1,Very New
9514-JDSKI,1,Very New
3282-ZISZV,3,New
3675-YDUPJ,1,Very New
4111-BNXIF,2,Long-term
7017-VFHAY,2,Long-term
6655-LHBYW,0,Established
4959-JOSRX,1,Very New
5046-NUHWD,3,New
7273-TEFQD,1,Very New
3606-TWKGI,1,Very New
7529-ZDFXI,2,Long-term
7605-BDWDC,3,New
1950-KSVVJ,0,Established
0123-CRBRT,2,Long-term
6292-TOSSS,0,Established
3197-ARFOY,3,New
6323-AYBRX,2,Long-term
7014-ZZXAW,2,Long-term
4385-GZQXV,3,New
7633-MVPUY,2,Long-term
6366-ZGQGL,1,Very New
4716-HHKQH,3,New
5940-AHUHD,1,Very New
6432-TWQLB,1,Very New
4484-GLZOU,0,Established
3179-GBRWV,3,New
8645-KWHJO,1,Very New
4130-MZLCC,1,Very New
0314-TKOSI,1,Very New
8229-MYEJZ,1,Very New
2080-SRCDE,1,Very New
9577-WJVCQ,2,Long-term
9512-UIBFX,3,New
6202-DYYFX,3,New
3808-HFKDE,3,New
5583-SXDAG,1,Very New
3488-PGMQJ,1,Very New
3580-REOAC,1,Very New
7534-BFESC,3,New
3727-OWVYD,3,New
2294-SALNE,3,New
4847-TAJYI,1,Very New
1563-IWQEX,1,Very New
8203-XJZRC,1,Very New
6556-DBKZF,2,Long-term
6851-WEFYX,3,New
2985-JUUBZ,0,Established
6390-DSAZX,1,Very New
